1785431837938114	200	9824
1785431837937757	200	14196
1785431837944493	200	7478
1785431837941559	200	10624
1785431837939859	200	13010
1785431837938839	200	14377
1785431837947497	200	6896
1785431837948034	200	7338
1785431837944558	200	11139
1785431837952394	200	4513
1785431837951962	200	4980
1785431837951973	200	5117
1785431837944189	200	13129
1785431837952187	200	5922
1785431837947977	200	11090
1785431837951622	200	8468
1785431837950999	200	9820
1785431837956949	200	4311
1785431837951796	200	9929
1785431837951180	200	10781
1785431837954240	200	7923
1785431837956917	200	5300
1785431837953720	200	8683
1785431837954412	200	8078
1785431837959097	200	4928
1785431837960099	200	5601
1785431837959533	200	6308
1785431837958640	200	7434
1785431837953220	200	12955
1785431837959078	200	7237
1785431837955705	200	10736
1785431837955383	200	11247
1785431837950483	200	16347
1785431837952877	200	14071
1785431837956863	200	12599
1785431837962407	200	7440
1785431837962493	200	7475
1785431837962220	200	7984
1785431837961264	200	9250
1785431837958140	200	12555
1785431837961735	200	9127
1785431837961966	200	9047
1785431837957094	200	14120
1785431837957324	200	14061
1785431837965709	200	6014
1785431837965846	200	6020
1785431837966109	200	5843
1785431837964035	200	9404
1785431837966640	200	7083
1785431837966324	200	7452
1785431837966446	200	7468
1785431837970868	200	3324
1785431837960827	200	13598
1785431837971017	200	3449
1785431837965504	200	9332
1785431837971218	200	3634
1785431837954496	200	20730
1785431837962168	200	13277
1785431837968310	200	7210
1785431837970704	200	5569
1785431837966180	200	10650
1785431837970519	200	6903
1785431837971870	200	5781
1785431837959480	200	18510
1785431837971956	200	6136
1785431837961451	200	17883
1785431837964148	200	15331
1785431837971733	200	7943
1785431837968821	200	10998
1785431837965145	200	14906
1785431837970208	200	10161
1785431837969973	200	11083
1785431837969855	200	11319
1785431837973732	200	8002
1785431837973448	200	8388
1785431837973785	200	8213
1785431837966955	200	15806
1785431837973919	200	8990
1785431837971389	200	12871
1785431837974853	200	9542
1785431837974471	200	10081
1785431837974196	200	10801
1785431837976284	200	8856
1785431837969200	200	16173
1785431837978096	200	7672
1785431837977427	200	9379
1785431837979683	200	7515
1785431837976837	200	10576
1785431837981065	200	6612
1785431837981178	200	6558
1785431837980375	200	7408
1785431837981741	200	6719
1785431837981839	200	6707
1785431837982005	200	7497
1785431837982766	200	6899
1785431837982914	200	6965
1785431837984399	200	6010
1785431837975449	200	15056
1785431837966835	200	24080
1785431837974430	200	16812
1785431837977995	200	13633
1785431837975523	200	16666
1785431837969472	200	22956
1785431837974844	200	17812
1785431837975230	200	17530
1785431837979432	200	13457
1785431837979483	200	13589
1785431837979822	200	13401
1785431837980055	200	13356
1785431837987202	200	6512
1785431837987785	200	5968
1785431837985145	200	8660
1785431837987739	200	6100
1785431837987417	200	6467
1785431837985777	200	8209
1785431837977660	200	16455
1785431837982716	200	12427
1785431837987692	200	8018
1785431837986817	200	9370
1785431837988550	200	8503
1785431837989672	200	7525
1785431837988464	200	8757
1785431837989512	200	7832
1785431837990414	200	8361
1785431837990510	200	8505
1785431837990925	200	8789
1785431837989883	200	10348
1785431837991635	200	8618
1785431837984269	200	16178
1785431837984556	200	16646
1785431837985004	200	16296
1785431837985377	200	16404
1785431837993721	200	8778
1785431837993808	200	8726
1785431837994139	200	8953
1785431837993844	200	9869
1785431837993757	200	9978
1785431837995712	200	8062
1785431837996194	200	7820
1785431837997226	200	7233
1785431837997061	200	7492
1785431837993991	200	10677
1785431837997201	200	7510
1785431837997347	200	7598
1785431837999019	200	7083
1785431837998782	200	7746
1785431838000236	200	6668
1785431837999722	200	7598
1785431838001304	200	6644
1785431838000257	200	7800
1785431838000452	200	7614
1785431838001212	200	7356
1785431837992432	200	16832
1785431837993887	200	16142
1785431837992194	200	17882
1785431837991248	200	19176
1785431837993414	200	17679
1785431837992763	200	18679
1785431837995151	200	18155
1785431837993227	200	20187
1785431838004949	200	8629
1785431838003101	200	10632
1785431837993077	200	20909
1785431838003776	200	10308
1785431838002550	200	11789
1785431837992893	200	21561
1785431837992663	200	22136
1785431838002503	200	12491
1785431838003726	200	12777
1785431838004464	200	12248
1785431838003736	200	13021
1785431838004556	200	12451
1785431838004019	200	13330
1785431838004675	200	13257
1785431838004716	200	14630
1785431838008061	200	12269
1785431838006111	200	14231
1785431838009273	200	12133
1785431838006912	200	14573
1785431838010081	200	11454
1785431838010440	200	11270
1785431838007324	200	14537
1785431838010037	200	12054
1785431838015008	200	7295
1785431838001789	200	20564
1785431838011100	200	11381
1785431838016662	200	6637
1785431838014349	200	8958
1785431838006532	200	17015
1785431838013682	200	10522
1785431838017941	200	6299
1785431838016760	200	7633
1785431838014090	200	10447
1785431838013745	200	11138
1785431838008573	200	16476
1785431838019457	200	5622
1785431838021965	200	3681
1785431838021731	200	3988
1785431838017011	200	8709
1785431838008070	200	17768
1785431838022100	200	3795
1785431838016719	200	9566
1785431838024213	200	2259
1785431838017445	200	9606
1785431838025908	200	1577
1785431838025084	200	2703
1785431838020350	200	7462
1785431838025656	200	2208
1785431838023407	200	4561
1785431838007956	200	20032
1785431838021492	200	6539
1785431838025723	200	2329
1785431838023552	200	4522
1785431838022319	200	5856
1785431838013996	200	15258
1785431838021435	200	7844
1785431838013432	200	15899
1785431838014819	200	14611
1785431838021542	200	7893
1785431838014459	200	15046
1785431838013324	200	16277
1785431838011447	200	18334
1785431838022490	200	7612
1785431838020350	200	9833
1785431838026478	200	4388
1785431838024404	200	6875
1785431838026980	200	5090
1785431838027489	200	4729
1785431838023362	200	8868
1785431838025059	200	7469
1785431838024904	200	8060
1785431838024547	200	8813
1785431838032082	200	1494
1785431838031287	200	2536
1785431838032239	200	1707
1785431838028077	200	6069
1785431838024254	200	10164
1785431838025732	200	8788
1785431838022358	200	12549
1785431838029433	200	6202
1785431838029304	200	6341
1785431838029509	200	6197
1785431838028036	200	7918
1785431838028056	200	8320
1785431838026426	200	10026
1785431838029614	200	7246
1785431838029787	200	7182
1785431838027972	200	9282
1785431838029264	200	8035
1785431838027845	200	9563
1785431838030187	200	7209
1785431838030106	200	7308
1785431838025846	200	11822
1785431838027868	200	9818
1785431838029442	200	8325
1785431838027796	200	10013
1785431838028178	200	9758
1785431838027996	200	10622
1785431838033605	200	5067
1785431838033368	200	5506
1785431838032978	200	5972
1785431838030876	200	8410
1785431838034151	200	5214
1785431838034425	200	5075
1785431838034916	200	5437
1785431838033847	200	6553
1785431838033952	200	7133
1785431838035711	200	5541
1785431838035639	200	6161
1785431838035653	200	6324
1785431838034527	200	8112
1785431838037689	200	5088
1785431838039290	200	4353
1785431838032536	200	11123
1785431838037393	200	6290
1785431838038676	200	5011
1785431838029335	200	14365
1785431838038881	200	4854
1785431838032223	200	11995
1785431838041807	200	3980
1785431838040405	200	5425
1785431838040360	200	5487
1785431838037677	200	8215
1785431838037771	200	8211
1785431838037815	200	8208
1785431838041093	200	4954
1785431838041256	200	4844
1785431838036425	200	9691
1785431838035960	200	10419
1785431838037939	200	8483
1785431838036460	200	10037
1785431838037257	200	10056
1785431838038953	200	8658
1785431838038632	200	9519
1785431838039368	200	9166
1785431838039504	200	9304
1785431838037400	200	11630
1785431838037304	200	12319
1785431838036941	200	12731
1785431838037414	200	12403
1785431838036972	200	13107
1785431838041983	200	8292
1785431838042743	200	7886
1785431838043684	200	7428
1785431838043738	200	7670
1785431838043647	200	8834
1785431838043664	200	9204
1785431838046051	200	7584
1785431838045836	200	7932
1785431838045869	200	7941
1785431838046103	200	8401
1785431838045794	200	9066
1785431838045985	200	8968
1785431838046028	200	9159
1785431838046392	200	9471
1785431838046426	200	9660
1785431838045896	200	10523
1785431838046156	200	10495
1785431838046500	200	10164
1785431838047320	200	10096
1785431838048538	200	9042
1785431838047619	200	9963
1785431838048154	200	9931
1785431838048815	200	9570
1785431838049627	200	8976
1785431838049678	200	8964
1785431838049034	200	9675
1785431838042781	200	16200
1785431838043690	200	15985
1785431838044225	200	15742
1785431838043701	200	16562
1785431838050635	200	10051
1785431838051412	200	9358
1785431838051115	200	10262
1785431838052874	200	9376
1785431838052487	200	9946
1785431838053814	200	9429
1785431838054868	200	9028
1785431838053641	200	10273
1785431838055191	200	9166
1785431838056090	200	8344
1785431838053771	200	10672
1785431838056662	200	8233
1785431838056669	200	8253
1785431838057583	200	7355
1785431838056423	200	8562
1785431838055870	200	9338
1785431838057420	200	8071
1785431838054518	200	10980
1785431838054958	200	10855
1785431838049822	200	16660
1785431838050083	200	16443
1785431838058389	200	8158
1785431838057586	200	9296
1785431838058985	200	8274
1785431838062438	200	5096
1785431838058091	200	9948
1785431838060773	200	7478
1785431838061381	200	6997
1785431838060693	200	7809
1785431838050278	200	18454
1785431838062256	200	6939
1785431838063903	200	5575
1785431838063255	200	6605
1785431838064902	200	5024
1785431838064443	200	6467
1785431838064361	200	6638
1785431838064942	200	6422
1785431838065495	200	6364
1785431838059681	200	12278
1785431838058610	200	13707
1785431838058713	200	13934
1785431838058645	200	14428
1785431838067538	200	5833
1785431838068387	200	5043
1785431838060267	200	13701
1785431838059971	200	14009
1785431838064458	200	10089
1785431838064935	200	10486
1785431838068059	200	7567
1785431838069482	200	6153
1785431838068749	200	7455
1785431838072320	200	4616
1785431838066528	200	10432
1785431838071962	200	5329
1785431838066486	200	10822
1785431838063934	200	13406
1785431838071865	200	5478
1785431838071367	200	6013
1785431838070917	200	6877
1785431838068511	200	9298
1785431838071003	200	6832
1785431838067264	200	10578
1785431838065509	200	13576
1785431838065218	200	13957
1785431838064992	200	14610
1785431838065837	200	14171
1785431838068261	200	11974
1785431838069867	200	10680
1785431838069224	200	11495
1785431838073376	200	7487
1785431838066904	200	14184
1785431838069927	200	11343
1785431838066559	200	14829
1785431838077351	200	4832
1785431838073439	200	8816
1785431838074559	200	8315
1785431838075640	200	7363
1785431838075440	200	7674
1785431838077837	200	5311
